UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,Temp_Diff,Power_W,Tool_Wear_Strain,Speed_Torque_Ratio,Type_L,Type_M,Type_H
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5330.141287811075,4635.400000000001,56.179383329108525,1,0,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6444.286178455671,6349.200000000001,37.14986802214544,1,0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6558.053720417668,6699.2,34.834897444599655,1,0,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6385.171876690622,6448.0,37.543415001633996,1,0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5131.215640985769,4779.0,56.30506565929978,0,1,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7850.127946986078,8976.0,25.330877696529836,1,0,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7673.004953176687,8784.2,26.48288469907135,1,0,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6368.469075749037,6455.8,41.67538176037126,0,1,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4386.092695407341,3938.7999999999997,79.86896075591234,1,0,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4914.581883569728,4506.599999999999,69.96136294928073,0,1,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6156.244020023535,6832.2,39.45594832747452,1,0,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6583.668172519938,8072.900000000001,30.90908405563546,1,0,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5046.162255877581,5194.7,58.50172177640356,0,1,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6770.195000339076,8114.400000000001,33.24262284747781,0,0,1
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5180.988940594142,6123.599999999999,47.12961508345213,1,0,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9700.923955019922,12548.7,21.46118394806941,1,0,0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4553.466280015094,4361.8,85.13270569349305,0,1,0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6918.415341735442,8918.0,31.912080898443758,1,0,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6365.243707291351,8791.199999999999,30.833326388890452,1,0,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5834.984755267442,7000.0,45.48570128979963,1,0,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5415.299392674381,6524.599999999999,49.56654812181173,1,0,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6743.878925877505,9526.800000000001,29.528901599806932,1,0,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7328.487430808517,9867.4,30.501037473687372,1,0,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6292.767164773034,8590.4,35.23001568280492,1,0,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7539.508209350144,0.0,27.145625796965863,1,0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5564.367964087217,75.8,36.99207467227581,1,0,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7550.870302780627,199.6,28.95791002847494,0,0,1
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7212.573133866566,427.5,30.526309362882238,1,0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6208.038410905718,448.79999999999995,35.61273636942736,1,0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6168.716142858286,521.3000000000001,36.63340732333982,1,0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7088.187008735435,714.0,29.87394330379342,1,0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5062.906944721215,455.6,67.31340771887771,0,1,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6601.5752506454,878.0,32.71069869915747,0,0,1
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5141.656200571199,795.0,48.55344385111829,1,0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6716.599429668834,1220.4,31.393798364203896,0,1,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585896,1185.0,37.64556008973162,0,1,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4736.2022526989,851.4,67.94571009856197,1,0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4771.765081537536,871.5,73.49394638797334,1,0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4901.062563183781,1002.7,63.72691375390636,0,1,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6529.276731710786,1720.0,33.72092239048316,1,0,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5418.388625450411,1339.8,50.846379045022246,1,0,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7385.067514499669,2296.8,25.88122109555151,0,1,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5822.156585265283,1659.1,44.61755109984388,0,1,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5479.461186636197,1495.0,58.52840851892692,0,1,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5235.809732399285,1733.1000000000001,46.7583954867292,1,0,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897537,2442.0,34.301794076172506,1,0,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4848.524662040247,1425.0,74.07997036801186,1,0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4315.888571575121,1221.3,96.18352841375439,1,0,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6611.27229996948,2476.6,38.30048317722089,1,0,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6111.4972686609035,2551.5,35.58023812833626,0,1,0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6590.014189680189,2864.4,33.410130550661165,1,0,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5181.543955296278,2114.8,51.15753982072675,1,0,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7339.022238173556,3395.0,29.793808289936432,1,0,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7336.624155781315,3369.6,31.987172652313536,0,1,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5550.84864370127,2452.5,49.571850283837826,0,0,1
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5613.523417140386,2728.0,46.09969322589641,1,0,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4410.79608564007,1845.0,83.19996302223866,1,0,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6828.408712210095,3654.0,34.45976219315811,0,0,1
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6196.372630185388,3515.5,37.92404103188834,0,1,0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6520.208000917424,3854.7999999999997,35.46538533045696,0,1,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5172.318144870235,2793.0,57.14283770651779,1,0,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6848.326409633854,4432.900000000001,31.312903432625067,1,0,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5584.955867943742,3375.9,45.865089189123395,1,0,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5525.747318399087,3333.0,48.45453077135431,1,0,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5023.0610778981845,2894.3,60.74730934259454,0,1,0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6252.491946954014,4314.200000000001,36.04421718815302,1,0,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6707.834386165319,4827.6,32.058158376250915,1,0,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6721.919193228913,4532.0,37.815524802057084,1,0,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6955.171975782443,5678.400000000001,25.838259203499167,1,0,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7026.318577410739,4947.599999999999,35.622111607808385,1,0,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5317.0199024945805,3410.3999999999996,58.74147661854537,1,0,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5260.282739170751,3799.6000000000004,48.44718992323293,1,0,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8419.939550518684,7260.0,21.9669385178614,1,0,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6880.559150259685,5673.0,30.387090239335432,1,0,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6414.943703071142,4786.400000000001,41.1139789860158,1,0,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5599.75276934215,4321.799999999999,45.45188179245429,1,0,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6339.765390870739,5260.8,35.83940733834371,1,0,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5038.580545606917,3601.0,62.70755858932903,1,0,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6518.930419904965,5702.400000000001,33.35647376007552,0,1,0
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7427.562791127228,6696.0,28.830639348661418,0,1,0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7598.151272217154,7314.0,25.830183805625694,1,0,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5106.501778777529,3990.0,60.03506665436258,0,1,0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6795.683788735201,6535.1,31.072203266476304,0,0,1
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7510.930188177988,8184.4,23.453883643059015,1,0,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7495.902903318317,7410.0,29.331977868020672,0,0,1
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7409.383441638454,8649.0,22.724010264514288,1,0,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5712.158954487593,5667.7,41.85594408422601,1,0,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5691.393027047365,5596.8,43.863623902379565,1,0,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5250.606633797693,4540.2,63.04962303204857,0,1,0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7440.705120394745,8282.0,27.861380621508786,0,0,1
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6176.203605349342,7165.599999999999,32.80659603618018,0,1,0
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5323.61724706712,5779.2,45.02974850305103,1,0,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6093.977653629385,6281.400000000001,44.65372724273483,0,0,1
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.88220315201,7177.900000000001,37.780539206848076,1,0,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6931.610030880519,8688.0,28.729160681424855,0,1,0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6154.662751721227,7341.599999999999,36.91728398063058,1,0,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6358.520699012669,7942.200000000001,33.302099929250595,1,0,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5760.50806542634,7068.8,38.90956411979677,0,1,0
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6800.919776491184,7831.0,38.63413691850319,0,1,0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5230.751768227005,5238.0,68.51849314129883,1,0,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5792.426646786813,7095.200000000001,42.2099330911787,1,0,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4119.9474377707265,3920.4,100.35348466995724,0,0,1
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7201.577559579002,9338.0,32.499992934784146,0,1,0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6732.747215908285,8961.0,33.97700368344743,0,0,1
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6278.996516974799,8440.0,37.47499063125234,0,1,0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7240.009709707917,10058.0,31.297865681305172,1,0,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8149.0190720486125,13111.2,21.120260111983505,1,0,0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7733.302588174585,11401.4,26.99808279195358,1,0,0
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5896.036372502203,0.0,44.676043753227106,1,0,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6733.312702585931,87.6,33.51597408311094,0,1,0
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6574.725105432719,218.0,33.02751536066161,0,1,0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4718.4627261816295,208.0,66.65382051776135,1,0,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5503.148795244265,326.0,49.44783759268785,0,0,1
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6550.032187175502,643.5,33.98600606386805,0,0,1
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9348.950386087232,1246.0,23.00160144436574,1,0,0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8157.019661339754,1300.2,22.3011806596987,1,0,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5900.958200992828,840.0,45.99998685714661,0,1,0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7777.494324835082,1371.6,28.779521893794904,1,0,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4190.800824084688,603.2,92.49995552886753,0,1,0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5614.727694324262,1078.4,47.21066848348115,0,1,0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7973.341210859871,2040.5,22.401368370262716,1,0,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6295.437518528586,1609.5,31.770107639055713,1,0,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5879.4487632912505,1353.3000000000002,46.62822863739808,1,0,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4455.113486006709,877.4,92.89715285179774,1,0,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7548.953931261937,2158.6,28.60557199092191,1,0,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6800.417121666609,2241.0,26.18473369784464,1,0,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7707.635776194758,2345.2999999999997,29.559112312803144,1,0,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4622.413766785878,1185.8,75.3718696810456,0,0,1
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6759.681136925063,2597.4,27.900202099750082,0,1,0
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6329.209639554677,2319.9,36.48647752174999,1,0,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5341.775652604869,1805.4,54.47710638003059,1,0,0
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5784.426057495671,2330.2000000000003,37.853393232096,1,0,0
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7629.462478997932,3528.0,23.232138708546657,1,0,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6224.008173561467,2801.5,31.995352205254704,1,0,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5650.845537865033,2251.2000000000003,47.797604822141416,1,0,0
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6994.504715805386,2994.6,35.460821322391396,0,1,0
